form_name,category,file_type,source_url,description,notes
Kompostanmalan,Composting,HTML page,https://mise.ax/blanketter/kompostanmalan,,
Anmalningsblankett stadigvarande bostad,Own home,HTML page,https://mise.ax/blanketter/anmalningsblankett-stadigvarande-bostad,,
Anmalan om agarbyte,Ownership change,HTML page,https://mise.ax/blanketter/anmalan-om-agarbyte,,
Anmalan om delad tomning 3 eller farre,Shared waste management,HTML page,https://mise.ax/blanketter/anmalan-om-delad-tomning-3-eller-farre,,
Ansokan delad avfallshantering fler 3 hushall,Shared waste management,HTML page,https://mise.ax/blanketter/ansokan-delad-avfallshantering-fler-3-hushall,,
Anmalan om slaminsamling ej ansluten kommunaltavloppsnatet,Sludge collection,HTML page,https://mise.ax/blanketter/anmalan-om-slaminsamling-ej-ansluten-kommunaltavloppsnatet,,
Bilaga kompostanmalan,Composting,HTML page,https://mise.ax/blanketter/bilaga-kompostanmalan,,
Anmalningsblankett flerbostadshus,Apartment building,HTML page,https://mise.ax/blanketter/anmalningsblankett-flerbostadshus,,
Inflyttningsplan bilaga anmalningsblankett flerbostadshus,Apartment building; Move/service change,HTML page,https://mise.ax/blanketter/inflyttningsplan-bilaga-anmalningsblankett-flerbostadshus,,
Anhallan om andringar byggnaden 0,Uncategorized,HTML page,https://mise.ax/blanketter/anhallan-om-andringar-byggnaden-0,,
Anmalan om ta hem avfall fastboende egnahemshus inom mise,Own home; Move/service change,HTML page,https://mise.ax/blanketter/anmalan-om-ta-hem-avfall-fastboende-egnahemshus-inom-mise,,
Ansokan om ta hem avfall fastboende lagenhet inom mise 0,Apartment building; Move/service change,HTML page,https://mise.ax/blanketter/ansokan-om-ta-hem-avfall-fastboende-lagenhet-inom-mise-0,,
Ansokan om ta hem avfall fastboende egnahemshus inom mise,Own home; Move/service change,HTML page,https://mise.ax/blanketter/ansokan-om-ta-hem-avfall-fastboende-egnahemshus-inom-mise,,
Anmalan om agarbyte fritidsbostad,Holiday home; Ownership change,HTML page,https://mise.ax/blanketter/anmalan-om-agarbyte-fritidsbostad,,
Anmalningsblankett fritidsbostader skargarden,Holiday home,HTML page,https://mise.ax/blanketter/anmalningsblankett-fritidsbostader-skargarden,,
Anmalan om flytt servicebostad 0,Move/service change,HTML page,https://mise.ax/blanketter/anmalan-om-flytt-servicebostad-0,,
Ansokan om ta hem avfall fastboende utanfor mise 0,Move/service change,HTML page,https://mise.ax/blanketter/ansokan-om-ta-hem-avfall-fastboende-utanfor-mise-0,,
Anhallan om andringar byggnaden,Uncategorized,HTML page,https://mise.ax/blanketter/anhallan-om-andringar-byggnaden,,
Anmalningsblankett verksamheter skargarden,Holiday home; Operation,HTML page,https://mise.ax/blanketter/anmalningsblankett-verksamheter-skargarden,,
Anmalningsblankett verksamheter fasta aland,Operation,HTML page,https://mise.ax/blanketter/anmalningsblankett-verksamheter-fasta-aland,,
Avfallstaxa 2025,Uncategorized,PDF,https://mise.ax/sites/default/files/2025-05/avfallstaxa-2025.pdf,,
Bokslut och verksamhetsberattelse 2025 underskrivet,Operation,PDF,https://mise.ax/sites/default/files/2026-07/bokslut-och-verksamhetsberattelse-2025-underskrivet.pdf,,
Bokslut och verksamhetsberattelse 2024 godkant av forbundsstyrelsen 23.4.2025,Operation,PDF,https://mise.ax/sites/default/files/2025-09/bokslut-och-verksamhetsberattelse-2024-godkant-av-forbundsstyrelsen-23.4.2025.pdf,,
Bokslut och verksamhetsberattelse 2023,Operation,PDF,https://mise.ax/sites/default/files/2025-05/bokslut-och-verksamhetsberattelse-2023.pdf,,
Bokslut och verksamhetsberattelse 2022,Operation,PDF,https://mise.ax/sites/default/files/2025-05/bokslut-och-verksamhetsberattelse-2022.pdf,,
Bokslut och verksamhetsberattelse 2021,Operation,PDF,https://mise.ax/sites/default/files/2025-05/bokslut-och-verksamhetsberattelse-2021.pdf,,
Budget och ekonomiplan 2025,Uncategorized,PDF,https://mise.ax/sites/default/files/2025-05/budget-och-ekonomiplan-2025.pdf,,
Budget och ekonomiplan 2024,Uncategorized,PDF,https://mise.ax/sites/default/files/2025-05/budget-och-ekonomiplan-2024.pdf,,
Budget och ekonomiplan 2023,Uncategorized,PDF,https://mise.ax/sites/default/files/2025-05/budget-och-ekonomiplan-2023.pdf,,
Budget och ekonomiplan 2022,Uncategorized,PDF,https://mise.ax/sites/default/files/2025-05/budget-och-ekonomiplan-2022.pdf,,
Budget och ekonomiplan 2021,Uncategorized,PDF,https://mise.ax/sites/default/files/2025-05/budget-och-ekonomiplan-2021.pdf,,
Budget och ekonomiplan 2020,Uncategorized,PDF,https://mise.ax/sites/default/files/2025-05/budget-och-ekonomiplan-2020.pdf,,
Avfallshanteringsforeskrifter 2025,Uncategorized,PDF,https://mise.ax/sites/default/files/2025-05/avfallshanteringsforeskrifter-2025.pdf,,
Avfallsplan 2020 2030 mstam 17.12.2019,Uncategorized,PDF,https://mise.ax/sites/default/files/2025-05/avfallsplan-2020-2030_mstam_17.12.2019.pdf,,
Mise grundavtal 2015,Uncategorized,PDF,https://mise.ax/sites/default/files/2025-05/mise-grundavtal-2015.pdf,,
Integritetspolicy for mise,Uncategorized,PDF,https://mise.ax/sites/default/files/2025-05/integritetspolicy-for-mise.pdf,,
Mise arvodesstadga,Uncategorized,PDF,https://mise.ax/sites/default/files/2025-05/mise-arvodesstadga.pdf,,
Mise delegeringsbeslut,Uncategorized,PDF,https://mise.ax/sites/default/files/2025-05/mise-delegeringsbeslut.pdf,,
Mise forvaltningsstadga mstam22052018 med andringar mstam14062023,Uncategorized,PDF,https://mise.ax/sites/default/files/2025-05/mise-forvaltningsstadga-mstam22052018-med-andringar-mstam14062023.pdf,,
Agarbyte stadigvarande bostad skargarden,Holiday home; Own home; Ownership change,HTML page,https://mise.ax/blanketter/agarbyte-stadigvarande-bostad-skargarden,,
Ansokan om obebodd stadigvarande bostad,Own home,HTML page,https://mise.ax/blanketter/ansokan-om-obebodd-stadigvarande-bostad,,
Anmalningsblankett bostad skargarden,Holiday home,HTML page,https://mise.ax/blanketter/anmalningsblankett-bostad-skargarden,,
Agarbytenybyggnation stadigvarande bostad skargarden,Holiday home; Own home; Ownership change,HTML page,https://mise.ax/blanketter/agarbytenybyggnation-stadigvarande-bostad-skargarden,,
Anhallan om avgiftsbefrielse,Own home,HTML page,https://mise.ax/blanketter/anhallan-om-avgiftsbefrielse,,
Ansokan om obebodd stadigvarande bostad 0,Own home,HTML page,https://mise.ax/blanketter/ansokan-om-obebodd-stadigvarande-bostad-0,,
Anmalan om flytt servicebostad,Move/service change,HTML page,https://mise.ax/blanketter/anmalan-om-flytt-servicebostad,,
Anmalan om skrotfordon,Litter/scrap vehicles,HTML page,https://mise.ax/blanketter/anmalan-om-skrotfordon,,
Anmalan om nedskrapning,Litter/scrap vehicles,HTML page,https://mise.ax/blanketter/anmalan-om-nedskrapning,,
Ansokan om ta hem avfall fastboende utanfor mise,Move/service change,HTML page,https://mise.ax/blanketter/ansokan-om-ta-hem-avfall-fastboende-utanfor-mise,,
Ansokan om ta hem avfall fastboende lagenhet inom mise,Apartment building; Move/service change,HTML page,https://mise.ax/blanketter/ansokan-om-ta-hem-avfall-fastboende-lagenhet-inom-mise,,
Anmalan om delad tomning avfallskarl,Shared waste management,HTML page,https://mise.ax/blanketter/anmalan-om-delad-tomning-avfallskarl,,
Anmalningsblankett fritidsbostader pa fasta aland,Holiday home,HTML page,https://mise.ax/blanketter/anmalningsblankett-fritidsbostader-pa-fasta-aland,,
Misebladet 2026,Uncategorized,HTML page,https://mise.ax/nyheter/misebladet-2026,,
Kundundersokning 2026,Uncategorized,HTML page,https://mise.ax/nyheter/kundundersokning-2026,,
Sommarjobb,Uncategorized,HTML page,https://mise.ax/nyheter/sommarjobb,,
Mise stanger atervinningsstationen vid s market,Uncategorized,HTML page,https://mise.ax/nyheter/mise-stanger-atervinningsstationen-vid-s-market,,
Forseningar avfallshamtningen pa grund radande vaglag,Uncategorized,HTML page,https://mise.ax/nyheter/forseningar-avfallshamtningen-pa-grund-radande-vaglag,,
Uppdatering hemsidan,Uncategorized,HTML page,https://mise.ax/nyheter/uppdatering-hemsidan,,
Forenklad avfallstaxa,Uncategorized,HTML page,https://mise.ax/nyheter/forenklad-avfallstaxa,,
Julinformation,Uncategorized,HTML page,https://mise.ax/nyheter/julinformation,,
Pilotprojekt okad atervinning,Uncategorized,HTML page,https://mise.ax/nyheter/pilotprojekt-okad-atervinning,,
Kundundersokning jomala,Uncategorized,HTML page,https://mise.ax/nyheter/kundundersokning-jomala,,
Mise pa givande studiebesok finland,Uncategorized,HTML page,https://mise.ax/nyheter/mise-pa-givande-studiebesok-finland,,
Stationen och lasthuset pa hellso stangs ner,Uncategorized,HTML page,https://mise.ax/nyheter/stationen-och-lasthuset-pa-hellso-stangs-ner,,
Nytt e tjanstformular agarbyte och anmalan om tjanster,Ownership change,HTML page,https://mise.ax/nyheter/nytt-e-tjanstformular-agarbyte-och-anmalan-om-tjanster,,
Stationen vid kantarellen stangs,Uncategorized,HTML page,https://mise.ax/nyheter/stationen-vid-kantarellen-stangs,,
Information dig sophamtning pa privat vag,Uncategorized,HTML page,https://mise.ax/nyheter/information-dig-sophamtning-pa-privat-vag,,
Lamna invasiva vaxtarter gratis pa atervinningscentralen,Uncategorized,HTML page,https://mise.ax/nyheter/lamna-invasiva-vaxtarter-gratis-pa-atervinningscentralen,,
Ffps forsta nyhetsbrev alands kommuner,Uncategorized,HTML page,https://mise.ax/nyheter/ffps-forsta-nyhetsbrev-alands-kommuner,,
Information om avfallstaxa 2021,Uncategorized,HTML page,https://mise.ax/nyheter/information-om-avfallstaxa-2021,,
Mises bokslut 2024,Uncategorized,HTML page,https://mise.ax/nyheter/mises-bokslut-2024,,
Vissa kunder fick sms vid fel tidpunkt vi undersoker felet,Uncategorized,HTML page,https://mise.ax/nyheter/vissa-kunder-fick-sms-vid-fel-tidpunkt-vi-undersoker-felet,,
Bilaga till ansokan om forlangt tomningsintervall hela aret 2025,Composting,PDF,https://mise.ax/sites/default/files/2025-05/bilaga-till-ansokan-om-forlangt-tomningsintervall-hela-aret-2025.pdf,,
8ea8db09cc,Uncategorized,Dynamic e-form,https://e-tjanster.ax/e-form/sv/8ea8db09cc,,
Anmalan om delad tomning av avfallskarl 2026,Shared waste management,PDF,https://mise.ax/sites/default/files/2026-01/anmalan-om-delad-tomning-av-avfallskarl-2026.pdf,,
Ansokan delad avfallshantering fler an 3 2026,Shared waste management,PDF,https://mise.ax/sites/default/files/2026-01/ansokan-delad-avfallshantering-fler-an-3-2026.pdf,,
Blankett till slaminsamlingsregister 2022 0,Sludge collection,PDF,https://mise.ax/sites/default/files/2025-05/blankett-till-slaminsamlingsregister-2022_0.pdf,,
Bilaga till kompostanmalan 2026,Composting,PDF,https://mise.ax/sites/default/files/2026-05/bilaga-till-kompostanmalan-2026.pdf,,
Anmalningsblankett flerbostadshus 2026,Apartment building,PDF,https://mise.ax/sites/default/files/2026-01/anmalningsblankett-flerbostadshus-2026.pdf,,
Anmalningsblankett flerbostadshus inflyttningsplan bilaga 2026,Apartment building; Move/service change,PDF,https://mise.ax/sites/default/files/2026-01/anmalningsblankett-flerbostadshus-inflyttningsplan-bilaga-2026.pdf,,
Anhallan om andringar i byggnaden 2026,Uncategorized,PDF,https://mise.ax/sites/default/files/2026-01/anhallan-om-andringar-i-byggnaden-2026.pdf,,
Anmalan om att ta hem avfall till fasta boende inom mise 2026 0,Move/service change,PDF,https://mise.ax/sites/default/files/2026-03/anmalan-om-att-ta-hem-avfall-till-fasta-boende-inom-mise-2026_0.pdf,,
Ansokan om att ta hem avfall till fasta boende utanfor o lgh mise 2026 3,Move/service change,PDF,https://mise.ax/sites/default/files/2026-03/ansokan-om-att-ta-hem-avfall-till-fasta-boende-utanfor-o-lgh-mise-2026_3.pdf,,
Anmalan om flytt till servicebostad 2026,Move/service change,PDF,https://mise.ax/sites/default/files/2026-01/anmalan-om-flytt-till-servicebostad-2026.pdf,,
Ansokan om att ta hem avfall till fasta boende utanfor o lgh mise 2026 0,Move/service change,PDF,https://mise.ax/sites/default/files/2026-03/ansokan-om-att-ta-hem-avfall-till-fasta-boende-utanfor-o-lgh-mise-2026_0.pdf,,
Anmalningsblankett verksamheter i skargarden 2026,Holiday home; Operation,PDF,https://mise.ax/sites/default/files/2026-01/anmalningsblankett-verksamheter-i-skargarden-2026.pdf,,
Anmalningsblankett verksamheter 2026,Operation,PDF,https://mise.ax/sites/default/files/2026-01/anmalningsblankett-verksamheter-2026.pdf,,
Ansokan om obebodd stadigvarande bostad 2026 0,Own home,PDF,https://mise.ax/sites/default/files/2026-01/ansokan-om-obebodd-stadigvarande-bostad-2026_0.pdf,,
Anhallan om avgiftsbefrielse 2026,Own home,PDF,https://mise.ax/sites/default/files/2026-01/anhallan-om-avgiftsbefrielse-2026.pdf,,
Anmalan om skrotfordon 2024,Litter/scrap vehicles,PDF,https://mise.ax/sites/default/files/2025-05/anmalan-om-skrotfordon-2024.pdf,,
Anmalan om nedskrapning 2024,Litter/scrap vehicles,PDF,https://mise.ax/sites/default/files/2025-05/anmalan-om-nedskrapning-2024.pdf,,
Misebladet 2026,Uncategorized,PDF,https://mise.ax/sites/default/files/2026-05/misebladet-2026.pdf,,
Avfallstaxa 2026 godkand av stamman 17.12.2025 0,Uncategorized,PDF,https://mise.ax/sites/default/files/2025-12/avfallstaxa-2026-godkand-av-stamman-17.12.2025_0.pdf,,
Infobrev 1 2025 till kommun,Uncategorized,PDF,https://mise.ax/sites/default/files/2025-06/infobrev-1-2025-till-kommun.pdf,,
Excel demo,Uncategorized,XLS,https://mise.ax/sites/default/files/2024-08/excel-demo.xlsx,,
Word demo,Uncategorized,DOC,https://mise.ax/sites/default/files/2024-08/word-demo.docx,,
